"dates","DOY","YEAR","DAY","TIME","TC","SHADE","SOLAR","DEP","ACT","TA","TSUB","TSKY","VEL","RELHUM","ZEN","DAYLENGTH","ABSAN","PTCOND","POSTURE","PANT","O2_ml","H2OResp_g","H2OCut_g"
2019-08-29 03:00:00,241,2,425,3,10.5870277661162,45,0,0,0,10.9054529988332,12.9136889079549,4.88392194437643,0.338409454659255,81.3716001603061,90,10.8377253663633,0.85,10,0,1,0.627911447060911,2.49379628462354e-05,0.000802649987145177
2019-08-29 04:00:00,241,2,425,4,10.2647689538121,45,0,0,0,10.6711403786668,12.0302154424253,4.38741947814447,0.434886688595352,80.9755512708361,90,10.8377253663633,0.85,10,0,1,0.610453468421141,2.35884273574548e-05,0.000908115718083078
2019-08-29 05:00:00,241,2,425,5,9.98957533218722,45,0,0,0,10.4251196532967,11.6208566114989,3.87021227069692,0.480609292889605,80.2711881851518,90,10.8377253663633,0.85,10,0,1,0.595929943725415,2.33845453774993e-05,0.000979057548861633
2019-08-29 06:00:00,241,2,425,6,9.79116035514738,45,0,0,0,10.137448110865,10.9266359244368,3.30197683140335,0.478492841701458,79.5953977724924,90,10.8377253663633,0.85,10,0,1,0.585673317860152,2.42858432015818e-05,0.00102883119219882
2019-08-29 07:00:00,241,2,425,7,9.30321004124398,45,0,0,0,9.79753263214637,10.2286633407782,2.67250580551962,0.415326450229666,79.1620316998799,90,10.8377253663633,0.85,10,0,1,0.561194397751816,2.20291119984969e-05,0.000900904027436136
2019-08-29 08:00:00,241,2,425,8,8.81819915860386,45,0,0,0,9.4206469341785,9.77832597918734,1.99555043587316,0.313382792044886,78.9442942008538,90,10.8377253663633,0.85,10,0,1,0.537876925015454,1.99696325359421e-05,0.000726674924695701
2019-08-29 09:00:00,241,2,425,9,8.33414409964498,45,0,0,0,9.05049066082398,9.44253625549941,1.31193792347932,0.208043232743067,78.7417470722851,90,10.8377253663633,0.85,10,0,1,0.515571403772479,1.8035929035501e-05,0.000546481699085423
2019-08-29 10:00:00,241,2,425,10,7.89831429508764,45,0,0,0,8.76020592279954,9.23985479862705,0.690948843107435,0.108179190235232,78.2015382743578,90,10.8377253663633,0.85,10,0,1,0.496280588535197,1.65787239052872e-05,0.000377961092265866
2019-08-29 11:00:00,241,2,425,11,7.72654843803771,45,0,0,0,8.65362203551028,8.71043486637072,0.231752255588503,0.189101567750962,76.8240036947375,90,10.8377253663633,0.85,10,0,1,0.488877653287506,1.72207268279669e-05,0.000527014111943296
2019-08-29 12:00:00,241,2,425,12,20.1663981202455,0,89.7748062055417,0,1,11.0036042661837,10.0352588116897,-1.47361649605267,0.230653914832287,64.1290889825424,82.1360285170372,10.8377253663633,0.85,10,0,1,1.45182567990106,0.000426081914946535,0.0048494833928218
2019-08-29 13:00:00,241,2,425,13,26.8224824755577,0,270.787090242891,0,1,13.8518563303953,14.6187128244105,-1.32112790345769,0.194665440521056,52.1145785613437,70.936577061165,10.8377253663633,0.85,10,0,1,2.59923579642809,0.00137643945506794,0.00811257515300641
2019-08-29 14:00:00,241,2,425,14,30.5190881912695,0,477.709016958515,0,2,18.83413236281,22.0777261103062,-0.759363361401711,0.104666488152163,37.299767582317,60.9551928492347,10.8377253663633,0.85,10,2,1,3.59183763495396,0.00252950188591951,0.00875838188822926
2019-08-29 15:00:00,241,2,425,15,32.5650778063667,27,356.525612749934,0,2,19.9560892186511,26.5889966431888,3.51461614514991,0.057413454338642,34.3381013294593,52.941439725395,10.8377253663633,0.85,10,0,1,4.29600029002712,0.00351271611081821,0.00923408713359159
